Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
1,1000,12672,,1,1000,12883,,1,1000,12781,,1,1000,12982,,1,1000,12471,,1,1000,12757.8
1,2000,16573,,1,2000,16522,,1,2000,16388,,1,2000,16547,,1,2000,16384,,1,2000,16482.8
1,3000,22118,,1,3000,21992,,1,3000,21471,,1,3000,21557,,1,3000,23584,,1,3000,22144.4
1,4000,24595,,1,4000,24365,,1,4000,24335,,1,4000,27423,,1,4000,24691,,1,4000,25081.8
1,5000,42891,,1,5000,31699,,1,5000,31353,,1,5000,34370,,1,5000,31101,,1,5000,34282.8
1,6000,40305,,1,6000,38769,,1,6000,38378,,1,6000,43880,,1,6000,38314,,1,6000,39929.2
1,7000,98620,,1,7000,97792,,1,7000,98436,,1,7000,99085,,1,7000,97873,,1,7000,98361.2
1,8000,131777,,1,8000,113908,,1,8000,132227,,1,8000,116481,,1,8000,114331,,1,8000,121744.8
1,9000,64732,,1,9000,64630,,1,9000,64466,,1,9000,75143,,1,9000,64864,,1,9000,66767
1,10000,75397,,1,10000,75301,,1,10000,75486,,1,10000,75234,,1,10000,75986,,1,10000,75480.8
,,,,,,,,,,,,,,,,,,,,,,
2,1000,10413,,2,1000,10203,,2,1000,10358,,2,1000,10288,,2,1000,10037,,2,1000,10259.8
2,2000,9997,,2,2000,9947,,2,2000,11199,,2,2000,9506,,2,2000,9761,,2,2000,10082
2,3000,12478,,2,3000,12686,,2,3000,12396,,2,3000,12395,,2,3000,12267,,2,3000,12444.4
2,4000,14067,,2,4000,14234,,2,4000,14069,,2,4000,14137,,2,4000,14080,,2,4000,14117.4
2,5000,18310,,2,5000,18231,,2,5000,18088,,2,5000,18183,,2,5000,18219,,2,5000,18206.2
2,6000,22407,,2,6000,22290,,2,6000,22476,,2,6000,22107,,2,6000,22143,,2,6000,22284.6
2,7000,27351,,2,7000,27492,,2,7000,28103,,2,7000,27335,,2,7000,27035,,2,7000,27463.2
2,8000,30981,,2,8000,30941,,2,8000,30750,,2,8000,30797,,2,8000,30732,,2,8000,30840.2
2,9000,35993,,2,9000,36218,,2,9000,39329,,2,9000,35972,,2,9000,36075,,2,9000,36717.4
2,10000,42895,,2,10000,42878,,2,10000,41566,,2,10000,42900,,2,10000,42112,,2,10000,42470.2
,,,,,,,,,,,,,,,,,,,,,,
3,1000,7325,,3,1000,7635,,3,1000,6157,,3,1000,7389,,3,1000,7212,,3,1000,7143.6
3,2000,8327,,3,2000,9870,,3,2000,8190,,3,2000,8192,,3,2000,8109,,3,2000,8537.6
3,3000,10435,,3,3000,12274,,3,3000,10420,,3,3000,10373,,3,3000,10269,,3,3000,10754.2
3,4000,11453,,3,4000,14128,,3,4000,11426,,3,4000,11494,,3,4000,11283,,3,4000,11956.8
3,5000,14297,,3,5000,18436,,3,5000,14233,,3,5000,14291,,3,5000,14335,,3,5000,15118.4
3,6000,17214,,3,6000,21923,,3,6000,17166,,3,6000,17350,,3,6000,17312,,3,6000,18193
3,7000,20846,,3,7000,20808,,3,7000,20863,,3,7000,20937,,3,7000,20743,,3,7000,20839.4
3,8000,46132,,3,8000,46479,,3,8000,45837,,3,8000,47559,,3,8000,45628,,3,8000,46327
3,9000,27418,,3,9000,27158,,3,9000,27125,,3,9000,27494,,3,9000,27175,,3,9000,27274
3,10000,40902,,3,10000,39888,,3,10000,39967,,3,10000,41356,,3,10000,40085,,3,10000,40439.6
,,,,,,,,,,,,,,,,,,,,,,
4,1000,6709,,4,1000,6470,,4,1000,5851,,4,1000,5798,,4,1000,5768,,4,1000,6119.2
4,2000,8593,,4,2000,8748,,4,2000,6135,,4,2000,6288,,4,2000,6380,,4,2000,7228.8
4,3000,11027,,4,3000,11150,,4,3000,8048,,4,3000,8091,,4,3000,7988,,4,3000,9260.8
4,4000,11753,,4,4000,11967,,4,4000,9403,,4,4000,9544,,4,4000,9361,,4,4000,10405.6
4,5000,14469,,4,5000,15162,,4,5000,12041,,4,5000,11994,,4,5000,11892,,4,5000,13111.6
4,6000,18381,,4,6000,18352,,4,6000,14501,,4,6000,14565,,4,6000,14673,,4,6000,16094.4
4,7000,20942,,4,7000,22093,,4,7000,17341,,4,7000,17573,,4,7000,17416,,4,7000,19073
4,8000,25807,,4,8000,25544,,4,8000,19880,,4,8000,19900,,4,8000,19578,,4,8000,22141.8
4,9000,30662,,4,9000,30668,,4,9000,22781,,4,9000,22655,,4,9000,22649,,4,9000,25883
4,10000,25973,,4,10000,25470,,4,10000,26806,,4,10000,240087,,4,10000,24856,,4,10000,68638.4
,,,,,,,,,,,,,,,,,,,,,,
5,1000,5433,,5,1000,5578,,5,1000,5509,,5,1000,5426,,5,1000,5390,,5,1000,5467.2
5,2000,7645,,5,2000,7637,,5,2000,7293,,5,2000,7514,,5,2000,7378,,5,2000,7493.4
5,3000,10024,,5,3000,10098,,5,3000,9918,,5,3000,9862,,5,3000,9577,,5,3000,9895.8
5,4000,10545,,5,4000,10959,,5,4000,10888,,5,4000,10717,,5,4000,10243,,5,4000,10670.4
5,5000,13348,,5,5000,13849,,5,5000,13457,,5,5000,13805,,5,5000,12940,,5,5000,13479.8
5,6000,16600,,5,6000,16554,,5,6000,16250,,5,6000,16363,,5,6000,16084,,5,6000,16370.2
5,7000,18560,,5,7000,19690,,5,7000,19252,,5,7000,19542,,5,7000,18535,,5,7000,19115.8
5,8000,32114,,5,8000,32048,,5,8000,37491,,5,8000,32022,,5,8000,32726,,5,8000,33280.2
5,9000,25973,,5,9000,26280,,5,9000,25874,,5,9000,25696,,5,9000,26401,,5,9000,26044.8
5,10000,29090,,5,10000,29112,,5,10000,29845,,5,10000,29455,,5,10000,27980,,5,10000,29096.4
,,,,,,,,,,,,,,,,,,,,,,
6,1000,4855,,6,1000,4873,,6,1000,4934,,6,1000,4886,,6,1000,4764,,6,1000,4862.4
6,2000,7346,,6,2000,7488,,6,2000,7401,,6,2000,7274,,6,2000,7333,,6,2000,7368.4
6,3000,9988,,6,3000,10000,,6,3000,10282,,6,3000,10004,,6,3000,10152,,6,3000,10085.2
6,4000,10472,,6,4000,10461,,6,4000,10523,,6,4000,10337,,6,4000,10545,,6,4000,10467.6
6,5000,13071,,6,5000,13226,,6,5000,13138,,6,5000,13069,,6,5000,13326,,6,5000,13166
6,6000,15686,,6,6000,15604,,6,6000,15515,,6,6000,15437,,6,6000,15709,,6,6000,15590.2
6,7000,17794,,6,7000,18131,,6,7000,19324,,6,7000,17850,,6,7000,18037,,6,7000,18227.2
6,8000,20274,,6,8000,20339,,6,8000,20260,,6,8000,19740,,6,8000,19780,,6,8000,20078.6
6,9000,23383,,6,9000,23304,,6,9000,23364,,6,9000,23001,,6,9000,23454,,6,9000,23301.2
6,10000,27782,,6,10000,27786,,6,10000,27678,,6,10000,27549,,6,10000,26977,,6,10000,27554.4
,,,,,,,,,,,,,,,,,,,,,,
7,1000,4590,,7,1000,4648,,7,1000,4635,,7,1000,4575,,7,1000,4600,,7,1000,4609.6
7,2000,7691,,7,2000,7625,,7,2000,7791,,7,2000,7736,,7,2000,7723,,7,2000,7713.2
7,3000,10508,,7,3000,10358,,7,3000,10584,,7,3000,10428,,7,3000,10539,,7,3000,10483.4
7,4000,10537,,7,4000,10465,,7,4000,10604,,7,4000,10742,,7,4000,10529,,7,4000,10575.4
7,5000,13389,,7,5000,13154,,7,5000,13183,,7,5000,13091,,7,5000,13178,,7,5000,13199
7,6000,15428,,7,6000,15435,,7,6000,15642,,7,6000,15533,,7,6000,15522,,7,6000,15512
7,7000,17174,,7,7000,17245,,7,7000,17109,,7,7000,17106,,7,7000,16925,,7,7000,17111.8
7,8000,18828,,7,8000,18818,,7,8000,19011,,7,8000,18387,,7,8000,18950,,7,8000,18798.8
7,9000,21358,,7,9000,21332,,7,9000,21407,,7,9000,21237,,7,9000,21663,,7,9000,21399.4
7,10000,24689,,7,10000,24443,,7,10000,23134,,7,10000,23787,,7,10000,22998,,7,10000,23810.2
,,,,,,,,,,,,,,,,,,,,,,
8,1000,4844,,8,1000,4774,,8,1000,4702,,8,1000,4807,,8,1000,4701,,8,1000,4765.6
8,2000,8336,,8,2000,8134,,8,2000,7932,,8,2000,8243,,8,2000,8050,,8,2000,8139
8,3000,11247,,8,3000,10908,,8,3000,11040,,8,3000,11200,,8,3000,10795,,8,3000,11038
8,4000,11356,,8,4000,10820,,8,4000,10930,,8,4000,11179,,8,4000,10880,,8,4000,11033
8,5000,13997,,8,5000,13572,,8,5000,13542,,8,5000,14170,,8,5000,13465,,8,5000,13749.2
8,6000,16415,,8,6000,15984,,8,6000,15840,,8,6000,16304,,8,6000,15971,,8,6000,16102.8
8,7000,17702,,8,7000,17233,,8,7000,17424,,8,7000,17704,,8,7000,17386,,8,7000,17489.8
8,8000,18411,,8,8000,19999,,8,8000,18674,,8,8000,18655,,8,8000,18521,,8,8000,18852
8,9000,20452,,8,9000,20254,,8,9000,20637,,8,9000,20372,,8,9000,20389,,8,9000,20420.8
8,10000,22864,,8,10000,22134,,8,10000,21453,,8,10000,21655,,8,10000,21604,,8,10000,21942
