Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
1,1000,14451,,1,1000,18978,,1,1000,16275,,1,1000,14235,,1,1000,15443,,1,1000,15876.4
1,2000,22693,,1,2000,26848,,1,2000,19353,,1,2000,19945,,1,2000,25900,,1,2000,22947.8
1,3000,31521,,1,3000,33555,,1,3000,33708,,1,3000,29682,,1,3000,26396,,1,3000,30972.4
1,4000,34451,,1,4000,30329,,1,4000,32926,,1,4000,30526,,1,4000,32485,,1,4000,32143.4
1,5000,44736,,1,5000,40915,,1,5000,38163,,1,5000,39392,,1,5000,39558,,1,5000,40552.8
1,6000,53130,,1,6000,50528,,1,6000,49069,,1,6000,48315,,1,6000,50478,,1,6000,50304
1,7000,60932,,1,7000,51960,,1,7000,54412,,1,7000,53433,,1,7000,60718,,1,7000,56291
1,8000,71316,,1,8000,64488,,1,8000,65294,,1,8000,62565,,1,8000,61795,,1,8000,65091.6
1,9000,80978,,1,9000,71813,,1,9000,75041,,1,9000,71810,,1,9000,72586,,1,9000,74445.6
1,10000,92937,,1,10000,84088,,1,10000,85442,,1,10000,92514,,1,10000,86714,,1,10000,88339
,,,,,,,,,,,,,,,,,,,,,,
2,1000,10810,,2,1000,8448,,2,1000,8879,,2,1000,8182,,2,1000,9542,,2,1000,9172.2
2,2000,15314,,2,2000,11618,,2,2000,11943,,2,2000,12916,,2,2000,12931,,2,2000,12944.4
2,3000,23910,,2,3000,32619,,2,3000,18010,,2,3000,19093,,2,3000,24028,,2,3000,23532
2,4000,25871,,2,4000,40724,,2,4000,29043,,2,4000,24172,,2,4000,20796,,2,4000,28121.2
2,5000,36198,,2,5000,35537,,2,5000,29793,,2,5000,26907,,2,5000,27066,,2,5000,31100.2
2,6000,39160,,2,6000,33657,,2,6000,32901,,2,6000,37230,,2,6000,31082,,2,6000,34806
2,7000,39450,,2,7000,42432,,2,7000,43014,,2,7000,37804,,2,7000,43314,,2,7000,41202.8
2,8000,51034,,2,8000,55682,,2,8000,41245,,2,8000,46759,,2,8000,49803,,2,8000,48904.6
2,9000,57381,,2,9000,68645,,2,9000,49603,,2,9000,67204,,2,9000,49182,,2,9000,58403
2,10000,61051,,2,10000,61766,,2,10000,66595,,2,10000,61098,,2,10000,60217,,2,10000,62145.4
,,,,,,,,,,,,,,,,,,,,,,
3,1000,13029,,3,1000,9868,,3,1000,10333,,3,1000,7416,,3,1000,8392,,3,1000,9807.6
3,2000,17095,,3,2000,11245,,3,2000,14282,,3,2000,15042,,3,2000,13335,,3,2000,14199.8
3,3000,19273,,3,3000,19700,,3,3000,29972,,3,3000,17055,,3,3000,18955,,3,3000,20991
3,4000,23511,,3,4000,21578,,3,4000,23032,,3,4000,21247,,3,4000,19045,,3,4000,21682.6
3,5000,30371,,3,5000,25446,,3,5000,28046,,3,5000,31006,,3,5000,30922,,3,5000,29158.2
3,6000,34122,,3,6000,38517,,3,6000,38315,,3,6000,31057,,3,6000,37096,,3,6000,35821.4
3,7000,43024,,3,7000,34999,,3,7000,37037,,3,7000,33849,,3,7000,39188,,3,7000,37619.4
3,8000,46228,,3,8000,41186,,3,8000,44482,,3,8000,42308,,3,8000,41438,,3,8000,43128.4
3,9000,52145,,3,9000,52953,,3,9000,47762,,3,9000,48088,,3,9000,50308,,3,9000,50251.2
3,10000,55974,,3,10000,59765,,3,10000,53842,,3,10000,53481,,3,10000,49251,,3,10000,54462.6
,,,,,,,,,,,,,,,,,,,,,,
4,1000,8342,,4,1000,9903,,4,1000,12133,,4,1000,10208,,4,1000,9136,,4,1000,9944.4
4,2000,16363,,4,2000,14913,,4,2000,12050,,4,2000,14243,,4,2000,13298,,4,2000,14173.4
4,3000,19305,,4,3000,19500,,4,3000,18434,,4,3000,18923,,4,3000,21129,,4,3000,19458.2
4,4000,21238,,4,4000,19232,,4,4000,18565,,4,4000,18967,,4,4000,19877,,4,4000,19575.8
4,5000,28130,,4,5000,26283,,4,5000,27018,,4,5000,44533,,4,5000,27381,,4,5000,30669
4,6000,32694,,4,6000,31343,,4,6000,31893,,4,6000,54883,,4,6000,33176,,4,6000,36797.8
4,7000,34712,,4,7000,35329,,4,7000,36244,,4,7000,40636,,4,7000,40373,,4,7000,37458.8
4,8000,43448,,4,8000,37182,,4,8000,44677,,4,8000,38753,,4,8000,43707,,4,8000,41553.4
4,9000,43617,,4,9000,39251,,4,9000,45161,,4,9000,52877,,4,9000,47193,,4,9000,45619.8
4,10000,51072,,4,10000,52063,,4,10000,51060,,4,10000,51673,,4,10000,49542,,4,10000,51082
,,,,,,,,,,,,,,,,,,,,,,
5,1000,11038,,5,1000,12158,,5,1000,12057,,5,1000,7877,,5,1000,13040,,5,1000,11234
5,2000,16621,,5,2000,14359,,5,2000,12511,,5,2000,13395,,5,2000,15405,,5,2000,14458.2
5,3000,20561,,5,3000,20658,,5,3000,21356,,5,3000,22734,,5,3000,20625,,5,3000,21186.8
5,4000,22005,,5,4000,23280,,5,4000,22849,,5,4000,21599,,5,4000,25071,,5,4000,22960.8
5,5000,28869,,5,5000,27166,,5,5000,26959,,5,5000,31384,,5,5000,32483,,5,5000,29372.2
5,6000,33433,,5,6000,38852,,5,6000,31473,,5,6000,33896,,5,6000,34872,,5,6000,34505.2
