Threads,Clusters,Time
1,1000,10780
1,2000,13568
1,3000,18510
1,4000,26112
1,5000,27724
1,6000,35044
1,7000,95779
1,8000,111876
1,9000,60894
1,10000,71701
,,
2,1000,7496
2,2000,10095
2,3000,13466
2,4000,15174
2,5000,19659
2,6000,24271
2,7000,61567
2,8000,83733
2,9000,38538
2,10000,45014
,,
3,1000,7284
3,2000,9806
3,3000,12852
3,4000,14619
3,5000,24121
3,6000,27644
3,7000,64330
3,8000,75726
3,9000,42706
3,10000,45791
,,
4,1000,7078
4,2000,10739
4,3000,14270
4,4000,15812
4,5000,19704
4,6000,23978
4,7000,59512
4,8000,53873
4,9000,28637
4,10000,31130
,,
5,1000,6633
5,2000,10674
5,3000,14346
5,4000,15209
5,5000,18716
5,6000,22020
5,7000,44759
5,8000,50328
5,9000,30693
5,10000,35529
,,
6,1000,7756
6,2000,11092
6,3000,14952
6,4000,15722
6,5000,20504
6,6000,23158
6,7000,44768
6,8000,50115
6,9000,32485
6,10000,33743
,,
7,1000,7726
7,2000,12367
7,3000,16184
7,4000,16577
7,5000,20371
7,6000,24267
7,7000,45564
7,8000,55891
7,9000,31831
7,10000,34274
,,
8,1000,8215
8,2000,13352
8,3000,19306
8,4000,17160
8,5000,21628
8,6000,25902
8,7000,56854
8,8000,53064
8,9000,31859
8,10000,33888
