Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
1,300,2666,,1,300,2065,,1,300,3827,,1,300,3749,,1,300,2540,,1,1000,2969.4
1,600,2457,,1,600,2866,,1,600,4254,,1,600,4127,,1,600,3201,,1,2000,3381
1,900,4054,,1,900,2472,,1,900,2985,,1,900,4822,,1,900,5766,,1,3000,4019.8
1,1200,4401,,1,1200,5119,,1,1200,3438,,1,1200,4237,,1,1200,3163,,1,4000,4071.6
1,1500,5957,,1,1500,4577,,1,1500,4229,,1,1500,4528,,1,1500,3661,,1,5000,4590.4
1,1800,3943,,1,1800,3927,,1,1800,4394,,1,1800,4454,,1,1800,5008,,1,6000,4345.2
1,2100,5073,,1,2100,4495,,1,2100,4727,,1,2100,6615,,1,2100,6042,,1,7000,5390.4
1,2400,7391,,1,2400,5819,,1,2400,6691,,1,2400,6095,,1,2400,5842,,1,8000,6367.6
1,2700,9790,,1,2700,6634,,1,2700,10717,,1,2700,7506,,1,2700,6428,,1,9000,8215
1,3000,9668,,1,3000,10117,,1,3000,8707,,1,3000,10151,,1,3000,8472,,1,10000,9423
,,,,,,,,,,,,,,,,,,,,,,
2,300,1781,,2,300,1638,,2,300,1816,,2,300,3611,,2,300,2535,,2,1000,2276.2
2,600,3100,,2,600,1918,,2,600,1605,,2,600,3304,,2,600,1803,,2,2000,2346
2,900,2805,,2,900,2356,,2,900,2750,,2,900,2866,,2,900,2584,,2,3000,2672.2
2,1200,2341,,2,1200,2038,,2,1200,2823,,2,1200,3346,,2,1200,3125,,2,4000,2734.6
2,1500,2251,,2,1500,3780,,2,1500,2614,,2,1500,4059,,2,1500,2875,,2,5000,3115.8
2,1800,2634,,2,1800,2671,,2,1800,3034,,2,1800,2762,,2,1800,2359,,2,6000,2692
2,2100,4031,,2,2100,6089,,2,2100,4830,,2,2100,3397,,2,2100,4966,,2,7000,4662.6
