Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,,Mean,,
Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time,,Threads,Clusters,Time
1,300,2561,,1,300,2719,,1,300,2899,,1,300,4213,,1,300,2946,,1,1000,3067.6
1,600,2930,,1,600,4347,,1,600,3371,,1,600,3059,,1,600,4022,,1,2000,3545.8
1,900,3626,,1,900,3364,,1,900,4241,,1,900,2863,,1,900,4025,,1,3000,3623.8
1,1200,3608,,1,1200,3052,,1,1200,3450,,1,1200,5400,,1,1200,3677,,1,4000,3837.4
1,1500,3830,,1,1500,3545,,1,1500,4143,,1,1500,4285,,1,1500,3449,,1,5000,3850.4
1,1800,4462,,1,1800,4239,,1,1800,4195,,1,1800,4427,,1,1800,6016,,1,6000,4667.8
1,2100,4949,,1,2100,4243,,1,2100,5574,,1,2100,5050,,1,2100,5854,,1,7000,5134
1,2400,6665,,1,2400,6653,,1,2400,6621,,1,2400,7470,,1,2400,6229,,1,8000,6727.6
1,2700,8117,,1,2700,7981,,1,2700,8734,,1,2700,8023,,1,2700,8453,,1,9000,8261.6
1,3000,9636,,1,3000,8639,,1,3000,9267,,1,3000,8847,,1,3000,10235,,1,10000,9324.8
,,,,,,,,,,,,,,,,,,,,,,
2,300,1779,,2,300,3406,,2,300,3052,,2,300,2172,,2,300,2371,,2,1000,2556
2,600,2799,,2,600,5754,,2,600,2923,,2,600,3453,,2,600,4468,,2,2000,3879.4
2,900,4417,,2,900,4422,,2,900,3019,,2,900,4450,,2,900,5132,,2,3000,4288
2,1200,5010,,2,1200,4016,,2,1200,5489,,2,1200,4046,,2,1200,6219,,2,4000,4956
2,1500,5206,,2,1500,6008,,2,1500,7696,,2,1500,6094,,2,1500,4076,,2,5000,5816
2,1800,4325,,2,1800,6490,,2,1800,4917,,2,1800,3713,,2,1800,4640,,2,6000,4817
2,2100,4178,,2,2100,5114,,2,2100,5657,,2,2100,5064,,2,2100,4707,,2,7000,4944
2,2400,5081,,2,2400,5937,,2,2400,4814,,2,2400,9151,,2,2400,5318,,2,8000,6060.2
2,2700,5818,,2,2700,5275,,2,2700,7467,,2,2700,9094,,2,2700,7204,,2,9000,6971.6
2,3000,8704,,2,3000,9416,,2,3000,9414,,2,3000,6068,,2,3000,9458,,2,10000,8612
,,,,,,,,,,,,,,,,,,,,,,
3,300,2172,,3,300,2699,,3,300,2564,,3,300,2582,,3,300,2536,,3,1000,2510.6
3,600,3596,,3,600,4714,,3,600,3329,,3,600,5170,,3,600,5517,,3,2000,4465.2
3,900,4155,,3,900,3588,,3,900,3323,,3,900,4175,,3,900,6414,,3,3000,4331
3,1200,7508,,3,1200,4374,,3,1200,5152,,3,1200,3545,,3,1200,4485,,3,4000,5012.8
3,1500,4484,,3,1500,4794,,3,1500,6868,,3,1500,4399,,3,1500,4872,,3,5000,5083.4
3,1800,4367,,3,1800,4714,,3,1800,5175,,3,1800,5968,,3,1800,5068,,3,6000,5058.4
3,2100,6085,,3,2100,4281,,3,2100,5855,,3,2100,6357,,3,2100,4643,,3,7000,5444.2
